"state","year","NDVI_mean","NDVI_median_min","NDVI_median_max","NDVI_stdDev","EVI_mean","EVI_median_min","EVI_median_max","EVI_stdDev","MVI_mean","MVI_median_min","MVI_median_max","MVI_stdDev","total_pixels","districts_analyzed","AGB_Mg_ha","BGB_Mg_ha","Total_Biomass_Mg_ha","Carbon_Stock_Density_MgC_ha"
"Andhra Pradesh",2000,0.455726485,0.286794724,0.589912592,0.193962951,0.293089792,0.165690812,0.408124797,0.137672971,10.99507657,2.920039628,5.377371534,22.89488181,412626,5,75.804380416,37.14414640384,112.94852681984,53.0858076053248
"Goa",2000,0.337548629,0.292937226,0.379091994,0.212108782,0.165850549,0.130851168,0.170023412,0.118933173,4.284464615,1.44152927,1.467585559,10.67597769,49914,2,36.2965954645,17.785331777605,54.081927242105,25.4185058037894
"Gujarat",2000,0.158206333,0.079936023,0.306356088,0.11349782,0.083159495,0.038025631,0.161218616,0.060728033,11.05847694,1.728558656,22.28926166,13.27167981,268450,13,10.6210231975,5.204301366775,15.825324564275,7.43790254520925
"Karnataka",2000,0.302526295,0.285121715,0.415668047,0.196763204,0.143464091,0.119171726,0.205099752,0.108123985,5.663658106,1.415079288,4.519937071,19.3716152,35545,3,29.3456002555,14.379344125195,43.724944380695,20.5507238589266
"Kerala",2000,0.390509956,0.285498628,0.595622532,0.15509062,0.177453828,0.130877066,0.251290601,0.102366729,14.19536943,2.353457052,8.586120248,20.50917425,7981,9,39.899413594,19.55071266106,59.45012625506,27.9415593398782
"Maharashtra",2000,0.303765904,0.214734076,0.418172976,0.148280347,0.139789835,0.087790537,0.189504706,0.081609008,5.066665198,1.419288703,5.479404734,12.30543976,394599,7,28.2047437675,13.820324446075,42.025068213575,19.7517820603803
"Odisha",2000,0.447777021,0.17410574,0.550868009,0.162764384,0.262647122,0.082698859,0.323202085,0.104008961,3.936926768,1.315219336,5.260825995,13.57206661,242312,5,66.351931381,32.51244637669,98.86437775769,46.4662575461143
"Tamil Nadu",2000,0.39453741,0.306263568,0.465010418,0.194976216,0.227092454,0.163904071,0.236257553,0.12792556,8.645947345,1.382871412,5.466151033,21.22350732,30291,5,55.312206967,27.10298141383,82.41518838083,38.7351385389901
"West Bengal",2000,0.592340306,0.380612534,0.662187778,0.124124084,0.339018608,0.217581595,0.384820926,0.082227621,16.43387233,3.721291186,10.95971142,16.91928209,2449196,3,90.065277784,44.13198611416,134.19726389816,63.0727140321352
"Andaman and Nicobar Islands",2000,0.812071399,0.826186569,0.855581446,0.119269112,0.450745406,0.478519375,0.560663733,0.102257636,14.47803977,3.433949443,8.949402166,16.75034711,624069,3,124.756448563,61.13065979587,185.88710835887,87.3669409286689
"Dadra and Nagar Haveli and Daman and Diu",2000,0.119222239,0.115266305,0.418351894,0.131465175,0.053374789,0.053691321,0.202077931,0.076414169,11.36993979,3.167058133,4.230448345,8.461976371,8665,2,1.3728719845,0.672707272405001,2.045579256905,0.961422250745351
"Puducherry",2000,0.452545718,0.443163826,0.443163826,0.180604301,0.295241808,0.259765354,0.259765354,0.142310029,7.671751713,3.510584911,3.510584911,15.91541823,3706,1,76.472581384,37.47156487816,113.94414626216,53.5537487432152
"Andhra Pradesh",2001,0.656802423,0.199988814,0.722534401,0.228239786,0.390557328,0.099649701,0.439460785,0.149024107,6.447048847,2.514483385,5.012538487,24.43405941,227013,2,106.068050344,51.97334466856,158.04139501256,74.2794556559032
"Goa",2001,0.379204066,0.371281154,0.394320237,0.24485267,0.185657174,0.158186288,0.181732347,0.134992424,6.516244282,2.478412731,2.495638184,17.03181154,49914,2,42.446552527,20.79881073823,63.24536326523,29.7253207346581
"Gujarat",2001,0.165920337,0.060593541,0.337240266,0.122083198,0.088514428,0.030224567,0.16921646,0.064930716,14.19782811,1.446474686,20.25161432,14.76684062,268137,13,12.283729894,6.01902764806,18.30275754206,8.6022960447682
"Karnataka",2001,0.286124955,0.277263155,0.404047797,0.208657618,0.141469926,0.123168716,0.201296931,0.114154207,6.5506642,1.431859461,4.913534758,24.84002347,35545,3,28.726412023,14.07594189127,42.80235391427,20.1171063397069
"Kerala",2001,0.372870428,0.329852867,0.610171676,0.159560467,0.184407391,0.127066189,0.275589193,0.105460542,12.56532178,2.450475336,9.440280119,21.18264779,17568,9,42.0584949055,20.608662503695,62.667157409195,29.4535639823216
"Maharashtra",2001,0.332350118,0.207131944,0.519650388,0.179372823,0.166433659,0.087877299,0.24806339,0.105641082,9.122170048,1.433012912,6.478718434,19.2095456,394444,7,36.4776511195,17.874049048555,54.351700168055,25.5452990789859
"Odisha",2001,0.525791788,0.269136895,0.62893353,0.172175547,0.317088097,0.126860976,0.368990761,0.116476885,5.608736695,1.414656604,5.229285926,12.28859766,238985,5,83.2558541185,40.795368518065,124.051222636565,58.3040746391855
"Tamil Nadu",2001,0.388885615,0.31827958,0.556061999,0.155069971,0.218862435,0.162150188,0.251728692,0.107375697,8.911298515,1.380237496,4.447951697,21.83017399,20604,5,52.7567860675,25.850825173075,78.607611240575,36.9455772830703
"West Bengal",2001,0.564488281,0.309313967,0.623246125,0.112682605,0.331289887,0.186837188,0.388752242,0.082588067,18.29728486,3.116903143,10.96408105,21.30577535,2449196,3,87.6655099135,42.956099857615,130.621609771115,61.3921565924241
"Andaman and Nicobar Islands",2001,0.786136716,0.791026041,0.816459558,0.099661068,0.466417998,0.47461295,0.544891786,0.090649974,9.274735325,3.393394687,7.017027305,12.83873526,304472,3,129.622788379,63.51516630571,193.13795468471,90.7748387018137
"Dadra and Nagar Haveli and Daman and Diu",2001,0.121361273,0.119254416,0.429784726,0.136078013,0.054268388,0.053676831,0.218317792,0.077557075,9.331396554,3.446325594,3.613223138,10.08027207,8665,2,1.650334474,0.80866389226,2.45899836626,1.1557292321422
"Puducherry",2001,0.469176028,0.451323523,0.451323523,0.208303912,0.266078356,0.235898802,0.235898802,0.143432819,4.438222614,2.460535886,2.460535886,10.35890227,4190,1,67.417329538,33.03449147362,100.45182101162,47.2123558754614
"Andhra Pradesh",2002,0.53355205,0.325540047,0.699287184,0.206307726,0.320719111,0.138969037,0.419907045,0.144208787,6.907367095,2.921401419,5.042309881,17.24123449,501685,5,84.3832839655,41.347809143095,125.731093108595,59.0936137610396
"Goa",2002,0.398806247,0.386653107,0.402200849,0.194067679,0.204775043,0.177710827,0.193229233,0.125733736,7.058488482,2.493991632,3.510727151,13.3637663,49914,2,48.3826508515,23.707498917235,72.090149768735,33.8823703913055
"Gujarat",2002,0.172502963,0.111203679,0.334181873,0.227012527,0.093151258,0.051801224,0.178949802,0.06183045,10.39578159,2.228008872,14.28365157,15.57251571,267201,13,13.723465609,6.72449814841,20.44796375741,9.6105429659827
"Karnataka",2002,0.317363608,0.308543149,0.457189069,0.184062445,0.160144427,0.140339926,0.255768534,0.16420751,6.853585063,1.420789538,5.599781027,26.32327881,34203,3,34.5248445835,16.917173845915,51.442018429415,24.177748661825
"Kerala",2002,0.44746954,0.314467451,0.671378624,0.159995708,0.214223211,0.142543807,0.344205052,0.110680794,17.10955092,3.456724969,8.386123798,22.19947525,18381,9,51.3163070155,25.144990437595,76.461297453095,35.9368098029546
"Maharashtra",2002,0.303094457,0.189763532,0.525440496,0.147946123,0.145723898,0.084058012,0.247979171,0.087081266,6.231559773,2.240746111,4.496084708,10.61406581,394598,7,30.047270329,14.72316246121,44.77043279021,21.0421034113987
"Odisha",2002,0.562260718,0.185615242,0.677824394,0.18875764,0.32952076,0.079100919,0.409128082,0.12529109,5.235040381,1.692754777,5.550489745,17.02818777,242312,5,87.11619598,42.6869360302,129.8031320102,61.007472044794
"Tamil Nadu",2002,0.369694527,0.111655583,0.519977843,0.196506792,0.220846373,0.037477699,0.283271842,0.12503576,11.13716983,1.416935997,9.496417578,23.96806854,43846,8,53.3727988165,26.152671420085,79.525470236585,37.3769710111949
"West Bengal",2002,0.509307561,0.345509544,0.538898716,0.797086147,0.274989106,0.189619548,0.30851427,0.247369993,24.52201611,2.119627776,9.704087318,27.29634459,2382701,3,70.184117413,34.39021753237,104.57433494537,49.1499374243239
"Andaman and Nicobar Islands",2002,0.787920938,0.816447601,0.839856111,0.12659663,0.453724544,0.450021408,0.603581186,0.113665657,13.91404714,3.363857384,9.59151965,16.40214574,608343,3,125.681470912,61.58392074688,187.26539165888,88.0147340796736
"Dadra and Nagar Haveli and Daman and Diu",2002,0.134310086,0.126985087,0.270751051,0.118198831,0.06061933,0.057623415,0.142019833,0.070982504,9.463958569,2.712690355,3.237051674,7.312597484,8619,2,3.622301965,1.77492796285,5.39722992785,2.5366980660895
"Puducherry",2002,0.47399854,0.462942261,0.462942261,0.187412485,0.267758436,0.236360251,0.236360251,0.137581173,4.803964338,2.473783596,2.473783596,11.24211185,4184,1,67.938994378,33.29010724522,101.22910162322,47.5776777629134
"Andhra Pradesh",2003,0.491478818,0.197326445,0.644516904,0.172425119,0.298465835,0.087175279,0.39262905,0.117669019,7.49907357,2.21537508,4.504596556,16.60444281,499520,5,77.4736417675,37.962084466075,115.435726233575,54.2547913297802
"Goa",2003,0.423531034,0.410316494,0.449369876,0.214061395,0.208081443,0.181720196,0.20534367,0.13164813,5.70017074,2.480509831,2.512008316,11.65888638,49914,2,49.4092880515,24.210551145235,73.619839196735,34.6013244224654
"Gujarat",2003,0.170208676,0.095317299,0.270385412,0.116885947,0.093753941,0.047878646,0.145176934,0.063871164,9.73278881,1.479472133,51.24625,14.09512993,239756,13,13.9105986805,6.816193353445,20.726792033945,9.74159225595415
"Karnataka",2003,0.336938122,0.339710272,0.511110465,0.215228811,0.160923923,0.13869263,0.240407526,0.117131942,7.303747552,1.418238404,7.02315814,25.0779572,35545,3,34.7668780915,17.035770264835,51.802648356335,24.3472447274775
"Kerala",2003,0.473661869,0.32244384,0.639690054,0.154758491,0.226538356,0.134469728,0.344032752,0.104201644,13.34423759,2.059927252,9.586085149,19.41488085,17382,9,55.140159538,27.01867817362,82.15883771162,38.6146537244614
"Maharashtra",2003,0.313982554,0.189523467,0.48243438,0.142502867,0.16256378,0.091833634,0.2362702,0.088043168,5.157576774,1.446066232,4.484387312,10.73961608,394597,7,35.27605369,17.2852663081,52.5613199981,24.703820399107
"Odisha",2003,0.516414432,0.232353047,0.605571627,0.180702308,0.330803593,0.100682759,0.384774347,0.123155492,8.182660969,2.384126942,6.489485952,21.61471451,242312,5,87.5145156265,42.882112656985,130.396628283485,61.2864152932379
"Tamil Nadu",2003,0.399965041,0.18240683,0.527342419,0.209640842,0.218646458,0.079773557,0.263616992,0.12677839,8.73128625,1.40639258,14.78675,21.93845274,36122,8,52.689725209,25.81796535241,78.50769056141,36.8986145638627
"West Bengal",2003,0.599681654,0.346465672,0.731098876,0.127553313,0.34588706,0.204904082,0.37289808,0.083570233,9.59231997,2.212821324,6.980105726,7.903794933,2449196,3,92.19793213,45.1769867437,137.3749188737,64.566211870639
"Andaman and Nicobar Islands",2003,0.815890474,0.855551131,0.863387898,0.12246888,0.469805637,0.488346581,0.572426767,0.106902195,11.16236544,3.37762673,8.909922089,12.7206641,639214,3,130.6746502885,64.030578641365,194.705228929865,91.5114575970365
"Dadra and Nagar Haveli and Daman and Diu",2003,0.141455715,0.134956542,0.438568279,0.121868121,0.060500277,0.055673506,0.24669805,0.071700973,6.528555998,2.231375977,3.422325643,6.604176829,8665,2,3.5853360085,1.756814644165,5.342150652665,2.51081080675255
"Puducherry",2003,0.415573745,0.40242946,0.40242946,0.166237568,0.247201248,0.220705696,0.220705696,0.121618745,4.345110836,2.45494192,2.45494192,10.10618574,4190,1,61.555987504,30.16243387696,91.71842138096,43.1076580490512
"Andhra Pradesh",2004,0.519825435,0.198041295,0.707064806,0.179520019,0.31868513,0.083736634,0.435551214,0.122514349,7.106881162,2.465121839,10.7074218,15.89879518,503800,5,83.751732865,41.03834910385,124.79008196885,58.6513385253595
"Goa",2004,0.392772493,0.386797189,0.394451704,0.209044131,0.203377419,0.181600273,0.18951778,0.13082421,6.220814771,2.496118687,2.509175453,13.72013934,47467,2,47.9486885995,23.494857413755,71.443546013255,33.5784666262298
"Gujarat",2004,0.208195147,0.119139865,0.322376566,0.128630582,0.110554244,0.056584715,0.166417343,0.068900007,9.669733648,1.713945851,4.466932066,13.1626234,266154,13,19.127092762,9.37227545338,28.49936821538,13.3947030612286
"Karnataka",2004,0.286631562,0.277273775,0.402377889,0.20401301,0.147306688,0.126906947,0.205078507,0.113742092,5.848675175,1.439000769,4.881656721,25.00200067,32548,3,30.538726624,14.96397604576,45.50270266976,21.3862702547872
