"state","year","very_dense","moderately_dense","open_mangrove","OF_factor","MDF_factor","VDF_factor","carbon_open","carbon_moderately_dense","carbon_very_dense","total_carbon_stock","period"
"Andaman & Nicobar",2003,262,312,97,36.54,104.16,121.88,354438,3249792,3193256,6797486,"Historical"
"Andaman & Nicobar",2004,258.5,292,103.5,36.54,104.16,121.88,378189,3041472,3150598,6570259,"Historical"
"Andaman & Nicobar",2005,255,272,110,36.54,104.16,121.88,401940,2833152,3107940,6343032,"Historical"
"Andaman & Nicobar",2006,262.5,269.5,99.5,36.54,104.16,121.88,363573,2807112,3199350,6370035,"Historical"
"Andaman & Nicobar",2007,270,267,89,36.54,104.16,121.88,325206,2781072,3290760,6397038,"Historical"
"Andaman & Nicobar",2008,277.5,264.5,78.5,36.54,104.16,121.88,286839,2755032,3382170,6424041,"Historical"
"Andaman & Nicobar",2009,285,262,68,36.54,104.16,121.88,248472,2728992,3473580,6451044,"Historical"
"Andaman & Nicobar",2010,284,261.5,70.5,36.54,104.16,121.88,257607,2723784,3461392,6442783,"Historical"
"Andaman & Nicobar",2011,283,261,73,36.54,104.16,121.88,266742,2718576,3449204,6434522,"Historical"
"Andaman & Nicobar",2012,279.5,259.5,71.5,36.54,104.16,121.88,261261,2702952,3406546,6370759,"Historical"
"Andaman & Nicobar",2013,276,258,70,36.54,104.16,121.88,255780,2687328,3363888,6306996,"Historical"
"Andaman & Nicobar",2014,337.5,213,60,36.54,104.16,121.88,219240,2218608,4113450,6551298,"Historical"
"Andaman & Nicobar",2015,399,168,50,36.54,104.16,121.88,182700,1749888,4863012,6795600,"Historical"
"Andaman & Nicobar",2016,399,168.5,49.5,36.54,104.16,121.88,180873,1755096,4863012,6798981,"Historical"
"Andaman & Nicobar",2017,399,169,49,36.54,104.16,121.88,179046,1760304,4863012,6802362,"Historical"
"Andaman & Nicobar",2018,398.705,168.89,49.045,36.54,104.16,121.88,179210.43,1759158.24,4859416.54,6797785.21,"Historical"
"Andaman & Nicobar",2019,398.41,168.78,49.09,36.54,104.16,121.88,179374.86,1758012.48,4855821.08,6793208.42,"Historical"
"Andaman & Nicobar",2020,385.025,167.07,49.015,36.54,104.16,121.88,179100.81,1740201.12,4692684.7,6611986.63,"Historical"
"Andaman & Nicobar",2021,371.64,165.36,48.94,36.54,104.16,121.88,178826.76,1722389.76,4529548.32,6430764.84,"Historical"
"Andaman & Nicobar",2022,385.505,164,47.61,36.54,104.16,121.88,173966.94,1708224,4698534.94,6580725.88,"Historical"
"Andaman & Nicobar",2023,399.37,162.64,46.28,36.54,104.16,121.88,169107.12,1694058.24,4867521.56,6730686.92,"Historical"
"Andaman & Nicobar",2024,405.547405194986,156.269888885253,45.5507047322816,36.54,104.16,121.88,166442.275091757,1627707.16262879,4942811.77451649,6736961.21223704,"Forecast"
"Andaman & Nicobar",2025,408.299683229104,147.054438431051,45.150801283021,36.54,104.16,121.88,164981.027888159,1531719.03069782,4976356.53919631,6673056.5977823,"Forecast"
"Andaman & Nicobar",2026,409.525931813741,138.231225281366,44.9315173032541,36.54,104.16,121.88,164179.764226091,1439816.44253071,4991302.05694588,6595298.26370268,"Forecast"
"Andaman & Nicobar",2027,410.072273997448,130.771244767729,44.8112746199982,36.54,104.16,121.88,163740.397461473,1362113.28550067,4997960.87548089,6523814.55844303,"Forecast"
"Andaman & Nicobar",2028,410.315691021888,123.928253343219,44.7453404697152,36.54,104.16,121.88,163499.474076339,1290836.68682296,5000927.64217477,6455263.80307407,"Forecast"
"Andaman & Nicobar",2029,410.424142921731,116.889248914762,44.7091859856683,36.54,104.16,121.88,163367.365591632,1217518.41669616,5002249.45393006,6383135.23621785,"Forecast"
"Andaman & Nicobar",2030,410.472462527177,109.491622345035,44.6893609524937,36.54,104.16,121.88,163294.924920412,1140464.73834589,5002838.37328123,6306598.03654752,"Forecast"
"Andaman & Nicobar",2031,410.493990820123,101.968893546343,44.6784900480752,36.54,104.16,121.88,163255.202635667,1062107.99517871,5003100.76011565,6228463.95793003,"Forecast"
"Andaman & Nicobar",2032,410.50358252504,94.5188602632097,44.672529071272,36.54,104.16,121.88,163233.421226428,984508.448501592,5003217.66381519,6150959.53354321,"Forecast"
"Andaman & Nicobar",2033,410.507856008472,87.1602558494607,44.6692604155024,36.54,104.16,121.88,163221.477558246,907861.224927983,5003269.74903126,6074352.45151749,"Forecast"
"Andhra Pradesh",2003,0,15,314,44.88,NA,NA,1409232,NA,NA,1409232,"Historical"
"Andhra Pradesh",2004,0,15,314,44.88,NA,NA,1409232,NA,NA,1409232,"Historical"
"Andhra Pradesh",2005,0,15,314,44.88,NA,NA,1409232,NA,NA,1409232,"Historical"
"Andhra Pradesh",2006,0,42.75,291,44.88,NA,NA,1306008,NA,NA,1306008,"Historical"
"Andhra Pradesh",2007,0,70.5,268,44.88,NA,NA,1202784,NA,NA,1202784,"Historical"
"Andhra Pradesh",2008,0,98.25,245,44.88,NA,NA,1099560,NA,NA,1099560,"Historical"
"Andhra Pradesh",2009,0,126,222,44.88,NA,NA,996336,NA,NA,996336,"Historical"
"Andhra Pradesh",2010,0,126,224,44.88,NA,NA,1005312,NA,NA,1005312,"Historical"
"Andhra Pradesh",2011,0,126,226,44.88,NA,NA,1014288,NA,NA,1014288,"Historical"
"Andhra Pradesh",2012,0,126,226.25,44.88,NA,NA,1015410,NA,NA,1015410,"Historical"
"Andhra Pradesh",2013,0,126,226.5,44.88,NA,NA,1016532,NA,NA,1016532,"Historical"
"Andhra Pradesh",2014,0,127.5,232.25,44.88,NA,NA,1042338,NA,NA,1042338,"Historical"
"Andhra Pradesh",2015,0,129,238,44.88,NA,NA,1068144,NA,NA,1068144,"Historical"
"Andhra Pradesh",2016,0,171,214.5,44.88,NA,NA,962676,NA,NA,962676,"Historical"
"Andhra Pradesh",2017,0,213,191,44.88,NA,NA,857208,NA,NA,857208,"Historical"
"Andhra Pradesh",2018,0,213.0175,191.105,44.88,NA,NA,857679.24,NA,NA,857679.24,"Historical"
"Andhra Pradesh",2019,0,215.035,199.21,44.88,NA,NA,894054.48,NA,NA,894054.48,"Historical"
"Andhra Pradesh",2020,0,212.8825,193.45,44.88,NA,NA,868203.6,NA,NA,868203.6,"Historical"
"Andhra Pradesh",2021,0,212.73,195.69,44.88,NA,NA,878256.72,NA,NA,878256.72,"Historical"
"Andhra Pradesh",2022,0,213.765,201.61,44.88,NA,NA,904825.68,NA,NA,904825.68,"Historical"
"Andhra Pradesh",2023,0,214.8,207.53,44.88,NA,NA,931394.64,NA,NA,931394.64,"Historical"
"Andhra Pradesh",2024,0,227.4220409727,214.873329474573,44.88,NA,NA,964351.502681882,NA,NA,964351.502681882,"Forecast"
"Andhra Pradesh",2025,0,237.51178321466,214.873329474573,44.88,NA,NA,964351.502681882,NA,NA,964351.502681882,"Forecast"
