"","state","year","NDVI_mean","NDVI_median_min","NDVI_median_max","NDVI_stdDev","EVI_mean","EVI_median_min","EVI_median_max","EVI_stdDev","MVI_mean","MVI_median_min","MVI_median_max","MVI_stdDev","total_pixels","districts_analyzed","Target_Value","Target_Trend","Index"
"1","ANDHRA PRADESH",2000,0.455726485,0.286794724,0.589912592,0.193962951,0.293089792,0.165690812,0.408124797,0.137672971,10.99507657,2.920039628,5.377371534,22.89488181,412626,5,0.455726485,NA,"NDVI"
"2","ANDHRA PRADESH",2001,0.656802423,0.199988814,0.722534401,0.228239786,0.390557328,0.099649701,0.439460785,0.149024107,6.447048847,2.514483385,5.012538487,24.43405941,227013,2,0.656802423,0.548693652666667,"NDVI"
"3","ANDHRA PRADESH",2002,0.53355205,0.325540047,0.699287184,0.206307726,0.320719111,0.138969037,0.419907045,0.144208787,6.907367095,2.921401419,5.042309881,17.24123449,501685,5,0.53355205,0.560611097,"NDVI"
"4","ANDHRA PRADESH",2003,0.491478818,0.197326445,0.644516904,0.172425119,0.298465835,0.087175279,0.39262905,0.117669019,7.49907357,2.21537508,4.504596556,16.60444281,499520,5,0.491478818,0.514952101,"NDVI"
"5","ANDHRA PRADESH",2004,0.519825435,0.198041295,0.707064806,0.179520019,0.31868513,0.083736634,0.435551214,0.122514349,7.106881162,2.465121839,10.7074218,15.89879518,503800,5,0.519825435,0.514742231666667,"NDVI"
"6","ANDHRA PRADESH",2005,0.532922442,0.221409499,0.699214461,0.181542369,0.332891722,0.091893,0.45900135,0.127720819,8.596859445,3.505511474,5.718655992,18.68408763,502653,5,0.532922442,0.537733907666667,"NDVI"
"7","ANDHRA PRADESH",2006,0.560453846,0.311773138,0.730561567,0.188070468,0.321916976,0.130731499,0.416055222,0.127680236,7.058087954,4.494039428,5.199034629,17.81731209,503803,5,0.560453846,0.545742329333333,"NDVI"
"8","ANDHRA PRADESH",2007,0.5438507,0.342190982,0.691460414,0.159762517,0.344407504,0.161599101,0.455076123,0.117960003,7.389351724,2.928746964,5.005873706,15.31326115,503803,5,0.5438507,0.564754067,"NDVI"
"9","ANDHRA PRADESH",2008,0.589957655,0.372629848,0.730572419,0.172961599,0.364769293,0.16540067,0.466833934,0.130312944,9.693921601,4.514348853,7.030446863,20.74366431,503168,5,0.589957655,0.561147883,"NDVI"
"10","ANDHRA PRADESH",2009,0.549635294,0.264417153,0.652402918,0.146936895,0.358157664,0.133992956,0.451195593,0.113056567,10.68153838,2.491882593,13.60131663,21.91454322,503653,5,0.549635294,0.564816715666667,"NDVI"
"11","ANDHRA PRADESH",2010,0.554857198,0.20901975,0.628938002,0.164094502,0.344080429,0.080200884,0.412130906,0.116104066,12.28249991,4.422814043,6.932351564,23.29842112,503705,5,0.554857198,0.56657911,"NDVI"
"12","ANDHRA PRADESH",2011,0.595244838,0.200955396,0.707007898,0.16864956,0.395164642,0.083855907,0.482460054,0.133901795,17.05763613,5.022659927,20.42638889,31.08847238,503004,5,0.595244838,0.569895696,"NDVI"
"13","ANDHRA PRADESH",2012,0.559585052,0.207669365,0.660150091,0.160955933,0.366996391,0.099310793,0.443381288,0.124629632,14.81788067,4.551214222,8.491384804,23.6254987,497915,5,0.559585052,0.585549207,"NDVI"
"14","ANDHRA PRADESH",2013,0.601817731,0.278345334,0.714897022,0.153852534,0.397582238,0.134913577,0.459020826,0.124497345,22.52360124,5.103669457,10.91230674,34.84319058,469760,5,0.601817731,0.603033749666667,"NDVI"
"15","ANDHRA PRADESH",2014,0.647698466,0.302627963,0.748037379,0.159543149,0.395318444,0.10334909,0.458980326,0.117778137,11.27012827,5.008650859,7.727731069,22.84785444,503801,5,0.647698466,0.636001419666667,"NDVI"
"16","ANDHRA PRADESH",2015,0.658488062,0.392418853,0.777440011,0.141468492,0.401747974,0.150844711,0.49414705,0.109329804,10.44379899,2.434881024,6.971240093,19.13892065,483561,5,0.658488062,0.655147578666667,"NDVI"
"17","ANDHRA PRADESH",2016,0.659256208,0.450768896,0.738331644,0.134901721,0.39904841,0.189116525,0.466808803,0.101529645,9.051157313,2.729880442,6.817839342,15.23007175,503803,5,0.659256208,0.657235956333333,"NDVI"
"18","ANDHRA PRADESH",2017,0.653963599,0.431608277,0.742295037,0.129480992,0.402141521,0.182610956,0.486329235,0.100933788,11.74206533,3.273108902,6.948316751,19.47591777,494735,5,0.653963599,0.659864879333333,"NDVI"
"19","ANDHRA PRADESH",2018,0.666374831,0.408355165,0.777391437,0.123420838,0.405694796,0.176885147,0.498051671,0.095726161,10.866757,3.209294421,7.000043106,20.54938949,503796,5,0.666374831,0.663119376,"NDVI"
"20","ANDHRA PRADESH",2019,0.669019698,0.468634264,0.771498283,0.123726524,0.413692235,0.205044057,0.501970695,0.097130134,10.25308737,4.267835219,6.94937416,18.22273586,503802,5,0.669019698,0.682392818666667,"NDVI"
"21","ANDHRA PRADESH",2020,0.711783927,0.537725237,0.777399895,0.121116191,0.450085949,0.236113473,0.505859926,0.10644865,14.17355056,4.464726725,10.92089463,24.22218719,503802,5,0.711783927,0.693913409333333,"NDVI"
"22","ANDHRA PRADESH",2021,0.700936603,0.524840434,0.79884407,0.112814243,0.425016204,0.227493981,0.505882417,0.095658307,21.64023226,4.778995576,14.93615941,28.5260192,503728,5,0.700936603,0.711687523666667,"NDVI"
"23","ANDHRA PRADESH",2022,0.722342041,0.561541271,0.779313445,0.116423096,0.450667447,0.244852043,0.501937744,0.099993158,16.80644796,6.861632373,18.43740067,30.29772113,503798,5,0.722342041,0.712774215666667,"NDVI"
"24","ANDHRA PRADESH",2023,0.715044003,0.58906499,0.746190754,0.110089539,0.441237456,0.274887748,0.474596955,0.094501628,14.73267183,6.46579706,10.9426733,24.8017795,503803,5,0.715044003,0.713551984,"NDVI"
"25","ANDHRA PRADESH",2024,0.703269908,0.545913478,0.746127497,0.11134486,0.445656945,0.333247994,0.478513213,0.095117484,12.88926223,4.465677198,8.981873113,21.69419308,503803,5,0.703269908,0.717758463333333,"NDVI"
"26","ANDHRA PRADESH",2025,0.734961479,0.563362184,0.793035718,0.114528939,0.461866604,0.333916746,0.521492285,0.10108288,16.11059197,6.864365545,10.94513187,27.48353632,503803,5,0.734961479,NA,"NDVI"
"27","GOA",2000,0.337548629,0.292937226,0.379091994,0.212108782,0.165850549,0.130851168,0.170023412,0.118933173,4.284464615,1.44152927,1.467585559,10.67597769,49914,2,0.337548629,NA,"NDVI"
"28","GOA",2001,0.379204066,0.371281154,0.394320237,0.24485267,0.185657174,0.158186288,0.181732347,0.134992424,6.516244282,2.478412731,2.495638184,17.03181154,49914,2,0.379204066,0.371852980666667,"NDVI"
"29","GOA",2002,0.398806247,0.386653107,0.402200849,0.194067679,0.204775043,0.177710827,0.193229233,0.125733736,7.058488482,2.493991632,3.510727151,13.3637663,49914,2,0.398806247,0.400513782333333,"NDVI"
"30","GOA",2003,0.423531034,0.410316494,0.449369876,0.214061395,0.208081443,0.181720196,0.20534367,0.13164813,5.70017074,2.480509831,2.512008316,11.65888638,49914,2,0.423531034,0.405036591333333,"NDVI"
"31","GOA",2004,0.392772493,0.386797189,0.394451704,0.209044131,0.203377419,0.181600273,0.18951778,0.13082421,6.220814771,2.496118687,2.509175453,13.72013934,47467,2,0.392772493,0.418425585666667,"NDVI"
