State,Year,Open_Mangrove,Moderately_Dense,Very_Dense,Total_Area
Andaman & Nicobar,2003,97,312,262,671
Andhra Pradesh,2003,314,15,0,329
Daman & Diu,2003,1,0,0,1
Goa,2003,0,10,0,10
Gujarat,2003,762,198,0,960
Karnataka,2003,0,3,0,3
Kerala,2003,5,3,0,8
Maharashtra,2003,64,44,8,116
Odisha,2003,47,160,0,207
Puducherry,2003,1,0,0,1
Tamil Nadu,2003,17,18,0,35
West Bengal,2003,334,894,892,2120
Andaman & Nicobar,2004,103.5,292,258.5,654
Andhra Pradesh,2004,314,15,0,329
Daman & Diu,2004,1,0,0,1
Goa,2004,1,12,0,13
Gujarat,2004,751.5,196.5,0,948
Karnataka,2004,0,3,0,3
Kerala,2004,5,3,0,8
Maharashtra,2004,82,51,4,137
Odisha,2004,47,158,0,205
Puducherry,2004,1,0,0,1
Tamil Nadu,2004,17,18,0,35
West Bengal,2004,332.5,894.5,892,2119
Andaman & Nicobar,2005,110,272,255,637
Andhra Pradesh,2005,314,15,0,329
Daman & Diu,2005,1,0,0,1
Goa,2005,2,14,0,16
Gujarat,2005,741,195,0,936
Karnataka,2005,0,3,0,3
Kerala,2005,5,3,0,8
Maharashtra,2005,100,58,0,158
Odisha,2005,47,156,0,203
Puducherry,2005,1,0,0,1
Tamil Nadu,2005,17,18,0,35
West Bengal,2005,331,895,892,2118
Andaman & Nicobar,2006,99.5,296.5,262.5,658.5
Andhra Pradesh,2006,291,42.75,0,333.75
Daman & Diu,2006,1,0,0,1
Goa,2006,2.25,14,0,16.25
Gujarat,2006,770.25,193.25,0,963.5
Karnataka,2006,0,3,0,3
Kerala,2006,4.25,3,0,7.25
Maharashtra,2006,104.25,60.75,0,165
Odisha,2006,45.75,141.25,20.5,207.5
Puducherry,2006,1,0,0,1
Tamil Nadu,2006,18.5,17.5,0,36
West Bengal,2006,303.25,891.5,928.5,2123.25
Andaman & Nicobar,2007,89,267,270,626
Andhra Pradesh,2007,268,70.5,0,338.5
Daman & Diu,2007,1,0,0,1
Goa,2007,2.5,14,0,16.5
Gujarat,2007,799.5,191.5,0,991
Karnataka,2007,0,3,0,3
Kerala,2007,3.5,3,0,6.5
Maharashtra,2007,108.5,63.5,0,172
Odisha,2007,44.5,126.5,41,212
Puducherry,2007,1,0,0,1
Tamil Nadu,2007,20,17,0,37
West Bengal,2007,275.5,888,965,2128.5
Andaman & Nicobar,2008,78.5,264.5,277.5,620.5
Andhra Pradesh,2008,245,98.5,0,343.5
Daman & Diu,2008,1,0,0,1
