"","Index","State","ADF_p_value","Is_Stationary","Model","AIC","RMSE","MAE"
"RMSE...1","NDVI","ANDHRA PRADESH",0.0461,"Stationary","ARIMA(2,1,0)",-79.71,0.04012,0.0275
"RMSE...2","NDVI","GOA",0.9817,"Non-Stationary","ARIMA(0,1,1)",-90.7,0.03406,0.02575
"RMSE...3","NDVI","GUJARAT",0.6354,"Non-Stationary","ARIMA(2,1,0)",-120.12,0.01812,0.01494
"RMSE...4","NDVI","KARNATAKA",0.4329,"Non-Stationary","ARIMA(3,1,0)",-88.57,0.03244,0.02507
"RMSE...5","NDVI","KERALA",0.8534,"Non-Stationary","ARIMA(2,1,0)",-103.75,0.02474,0.02069
"RMSE...6","NDVI","MAHARASHTRA",0.2268,"Non-Stationary","ARIMA(1,1,0)",-87.55,0.03639,0.02701
"RMSE...7","NDVI","ODISHA",0.4321,"Non-Stationary","ARIMA(0,1,0)",-86.32,0.04056,0.03067
"RMSE...8","NDVI","TAMIL NADU",0.6806,"Non-Stationary","ARIMA(1,1,0)",-101.05,0.02778,0.01943
"RMSE...9","NDVI","WEST BENGAL",0.6557,"Non-Stationary","ARIMA(2,1,0)",-102.02,0.02653,0.02192
"RMSE...10","NDVI","ANDAMAN & NICOBAR",0.5957,"Non-Stationary","ARIMA(0,1,0)",-121.01,0.02027,0.01511
"RMSE...11","NDVI","DADRA & NAGAR HAVELI & DAMAN & DIU",0.3347,"Non-Stationary","ARIMA(1,1,0)",-91.6,0.03349,0.023
"RMSE...12","NDVI","PUDUCHERRY",0.5696,"Non-Stationary","ARIMA(0,1,0)",-102.88,0.02798,0.021
"RMSE...13","EVI","ANDHRA PRADESH",0.01,"Stationary","ARIMA(2,1,0)",-109.85,0.02202,0.01534
"RMSE...14","EVI","GOA",0.9753,"Non-Stationary","ARIMA(0,1,0)",-138.47,0.01373,0.0101
"RMSE...15","EVI","GUJARAT",0.774,"Non-Stationary","ARIMA(0,1,1)",-161.25,0.00829,0.00672
"RMSE...16","EVI","KARNATAKA",0.3159,"Non-Stationary","ARIMA(0,1,0)",-133.32,0.01522,0.01204
"RMSE...17","EVI","KERALA",0.7903,"Non-Stationary","ARIMA(0,1,0)",-133.4,0.0152,0.01133
"RMSE...18","EVI","MAHARASHTRA",0.0388,"Stationary","ARIMA(1,1,0)",-124.8,0.0172,0.01348
"RMSE...19","EVI","ODISHA",0.2492,"Non-Stationary","ARIMA(0,1,0)",-113.07,0.02376,0.01772
"RMSE...20","EVI","TAMIL NADU",0.548,"Non-Stationary","ARIMA(0,1,0)",-122.85,0.01954,0.01546
"RMSE...21","EVI","WEST BENGAL",0.7061,"Non-Stationary","ARIMA(0,1,2)",-131.35,0.01384,0.00998
"RMSE...22","EVI","ANDAMAN & NICOBAR",0.426,"Non-Stationary","ARIMA(0,1,0)",-138.03,0.01442,0.01219
"RMSE...23","EVI","DADRA & NAGAR HAVELI & DAMAN & DIU",0.532,"Non-Stationary","ARIMA(0,1,1)",-146.17,0.01109,0.00767
"RMSE...24","EVI","PUDUCHERRY",0.503,"Non-Stationary","ARIMA(0,1,1)",-116.67,0.02032,0.01687
"RMSE...25","MVI","ANDHRA PRADESH",0.2465,"Non-Stationary","ARIMA(0,1,0)",140.47,3.78435,2.69188
"RMSE...26","MVI","GOA",0.6797,"Non-Stationary","ARIMA(0,0,1)",95.14,1.33426,1.1278
"RMSE...27","MVI","GUJARAT",0.3461,"Non-Stationary","ARIMA(0,1,0)",112.59,2.16685,1.85777
"RMSE...28","MVI","KARNATAKA",0.3218,"Non-Stationary","ARIMA(0,1,0)",105.12,1.86616,1.33167
"RMSE...29","MVI","KERALA",0.5058,"Non-Stationary","ARIMA(0,1,2)",96.39,1.36072,0.95647
"RMSE...30","MVI","MAHARASHTRA",0.3302,"Non-Stationary","ARIMA(0,1,1)",77.91,1.03006,0.75157
"RMSE...31","MVI","ODISHA",0.022,"Stationary","ARIMA(0,0,0)",83.36,1.11326,0.76903
"RMSE...32","MVI","TAMIL NADU",0.4154,"Non-Stationary","ARIMA(0,0,0)",131.59,2.81441,2.02552
"RMSE...33","MVI","WEST BENGAL",0.066,"Non-Stationary","ARIMA(0,0,0)",185.16,7.88505,6.59932
"RMSE...34","MVI","ANDAMAN & NICOBAR",0.1988,"Non-Stationary","ARIMA(0,1,2)",86.99,1.0679,0.75104
"RMSE...35","MVI","DADRA & NAGAR HAVELI & DAMAN & DIU",0.5663,"Non-Stationary","ARIMA(0,1,0)",140.72,3.80285,2.72441
"RMSE...36","MVI","PUDUCHERRY",0.1177,"Non-Stationary","ARIMA(0,1,0)",95.24,1.53138,1.14325
