"state","year","Carbon_Stock_Density_MgC_ha","Inventory_Carbon_Value","Scale_Factor","Spatial_Carbon_Scaled"
"Andhra Pradesh",2003,54.2547913297802,1409232,14179.0866016969,769283.384821946
"Goa",2003,34.6013244224654,0,378.700881715393,13103.552067308
"Gujarat",2003,9.74159225595415,5648124,255625.405374137,2490198.46941783
"Karnataka",2003,24.3472447274775,33405,1231.02393462242,29972.0410016344
"Kerala",2003,38.6146537244614,63133,1148.02694499132,44330.662947191
"Maharashtra",2003,24.703820399107,876528,48751.8144070896,1204356.06724334
"Odisha",2003,61.2864152932379,1209357,21507.5881060841,1318122.97662538
"Tamil Nadu",2003,36.8986145638627,157665,3642.14903057592,134390.253263367
"West Bengal",2003,64.566211870639,13775082,224195.796592711,14475473.3033116
"Andaman and Nicobar",2003,91.5114575970365,6797486,74522.6723680353,6819678.37242531
"Puducherry",2003,43.1076580490512,3450,104.411863978324,4500.95092864166
"Andhra Pradesh",2004,58.6513385253595,1409232,14179.0866016969,831622.408256513
"Goa",2004,33.5784666262298,4618,378.700881715393,12716.1949180041
"Gujarat",2004,13.3947030612286,5583897,255625.405374137,3424026.39989276
"Karnataka",2004,21.3862702547872,33405,1231.02393462242,26327.0105559466
"Kerala",2004,33.2558444850296,63133,1148.02694499132,38178.6055472548
"Maharashtra",2004,23.311831981204,1068592,48751.8144070896,1136494.10623691
"Odisha",2004,57.6752653623916,1196855,21507.5881060841,1240455.85132342
"Tamil Nadu",2004,36.4613331275655,157665,3642.14903057592,132797.609104068
"West Bengal",2004,57.3227182600021,13771772.5,224195.796592711,12851512.4831607
"Andaman and Nicobar",2004,83.0158784912066,6570259,74522.6723680353,6186565.11414482
"Puducherry",2004,47.7422854891106,3450,104.411863978324,4984.86101850335
"Andhra Pradesh",2005,61.7404646406043,1409232,14179.0866016969,875423.394968132
"Goa",2005,37.2291753370262,9236,378.700881715393,14098.7215256688
"Gujarat",2005,12.7903283060865,5519670,255625.405374137,3269532.85811166
"Karnataka",2005,23.8370626483817,33405,1231.02393462242,29343.9946512521
"Kerala",2005,39.0420395404453,63133,1148.02694499132,44821.3133798476
"Maharashtra",2005,28.4495552455438,1260656,48751.8144070896,1386967.43729499
"Odisha",2005,60.8798444402309,1184353,21507.5881060841,1309378.61818296
"Tamil Nadu",2005,39.1050286895804,157665,3642.14903057592,142426.342332399
"West Bengal",2005,61.5583172975986,13768463,224195.796592711,13801115.983442
"Andaman and Nicobar",2005,81.188696961019,6343032,74522.6723680353,6050398.66361373
"Puducherry",2005,54.1496397364169,3450,104.411863978324,5653.86481863403
"Andhra Pradesh",2006,59.3540812999144,1306008,14179.0866016969,841586.658915644
"Goa",2006,38.4611590827743,10390.5,378.700881715393,14565.2748564426
"Gujarat",2006,15.1238062062793,5632941,255625.405374137,3866029.09228004
"Karnataka",2006,24.4811240400462,33405,1231.02393462242,30136.8496397573
"Kerala",2006,45.0603342839435,58303,1148.02694499132,51730.4779082831
"Maharashtra",2006,28.531557623715,1317121.5,48751.8144070896,1390965.20201654
"Odisha",2006,62.6346898100375,1245339,21507.5881060841,1347121.10958663
"Tamil Nadu",2006,44.1245598599652,158746.5,3642.14903057592,160708.222918561
"West Bengal",2006,58.2853580026061,13915538.5,224195.796592711,13067332.2670856
"Andaman and Nicobar",2006,81.7906546181057,6370035,74522.6723680353,6095258.15687223
"Puducherry",2006,45.9851667511708,3450,104.411863978324,4801.39697584381
"Andhra Pradesh",2007,64.2444925533976,1202784,14179.0866016969,910928.223596695
"Goa",2007,40.7829124483192,11545,378.700881715393,15444.5249031001
"Gujarat",2007,17.6491335453877,5746212,255625.405374137,4511566.91704201
"Karnataka",2007,33.6774402248153,33405,1231.02393462242,41457.7349735636
"Kerala",2007,48.6651905402563,53473,1148.02694499132,55868.9500233507
"Maharashtra",2007,30.7296886875197,1373587,48751.8144070896,1498128.0796816
"Odisha",2007,61.7346460793534,1306325,21507.5881060841,1327763.33974961
"Tamil Nadu",2007,48.580519264862,159828,3642.14903057592,176937.491145392
"West Bengal",2007,59.9965740566947,14062614,224195.796592711,13450979.7134742
"Andaman and Nicobar",2007,78.366477746093,6397038,74522.6723680353,5840079.34570902
"Puducherry",2007,51.0384470554239,3450,104.411863978324,5329.01939161583
"Andhra Pradesh",2008,68.6720240931929,1099560,14179.0866016969,973706.576731197
"Goa",2008,45.161508407207,12699.5,378.700881715393,17102.7030534064
"Gujarat",2008,19.888602726439,5859483,255625.405374137,5084032.13427114
"Karnataka",2008,33.0696459586963,33405,1231.02393462242,40709.5256846448
"Kerala",2008,46.1163828200383,48643,1148.02694499132,52942.8500829386
"Maharashtra",2008,29.8233665033225,1430052.5,48751.8144070896,1453943.22876459
"Odisha",2008,59.2301543603212,1367311,21507.5881060841,1273897.76344157
"Tamil Nadu",2008,53.6658704767517,160909.5,3642.14903057592,195459.098131914
"West Bengal",2008,62.2730718492026,14209689.5,224195.796592711,13961360.9495071
"Andaman and Nicobar",2008,80.8252700906192,6424041,74522.6723680353,6023315.12202118
"Puducherry",2008,51.9029779708499,3450,104.411863978324,5419.28667596235
"Andhra Pradesh",2009,67.2343706568016,996336,14179.0866016969,953321.964153377
"Goa",2009,44.0432935268568,13854,378.700881715393,16679.2340922705
"Gujarat",2009,17.8421565249838,5972754,255625.405374137,4560908.49444779
"Karnataka",2009,33.8543458832471,33405,1231.02393462242,41675.5100732633
"Kerala",2009,47.7152370833527,43813,1148.02694499132,54778.3778583377
"Maharashtra",2009,28.3143521390779,1486518,48751.8144070896,1380376.04054131
"Odisha",2009,58.0387857333458,1428297,21507.5881060841,1248274.29773007
"Tamil Nadu",2009,52.7797274517608,161991,3642.14903057592,192231.633172492
"West Bengal",2009,56.3489930481679,14356765,224195.796592711,12633207.3836311
"Andaman and Nicobar",2009,77.7162011768722,6451044,74522.6723680353,5791618.99799237
"Puducherry",2009,49.6844289952601,3450,104.411863978324,5187.64384209381
"Andhra Pradesh",2010,64.1733723351114,1005312,14179.0866016969,909919.803862483
"Goa",2010,53.8105214880852,11545,378.700881715393,20378.091933103
"Gujarat",2010,19.9050966591391,5980350,255625.405374137,5088248.40250381
"Karnataka",2010,41.1205773066364,33405,1231.02393462242,50620.4148699611
"Kerala",2010,55.5008260344382,47033,1148.02694499132,63716.4437568106
"Maharashtra",2010,35.9050861520285,1486518,48751.8144070896,1750438.09635426
"Odisha",2010,63.3786813327043,1430522.5,21507.5881060841,1363122.57281057
"Tamil Nadu",2010,51.982272312031,161991,3642.14903057592,189327.182708397
"West Bengal",2010,58.7856246740619,14390509,224195.796592711,13179489.9520014
"Andaman and Nicobar",2010,80.2757999482952,6442783,74522.6723680353,5982367.13862875
